Equipa,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,DiferençaDeGolos,Pontos,GolosEsperadosSofridos,DiferençaDeGolosEsperados,Assistências,Golos+Assistências,ConduçõesProgressivas,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,PassesChave,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos,%DeDuelosAéreosGanhos,Epoca,Golos,GolosSofridos,GolosEsperadosAssistidos,GolosEsperadosSemPenáltis,PassesProgressivos
Vitória,34,19,6,9,52,14,63,39.3,5.8,35,84,467.0,10,29.4,73.8,126.0,45.5,8.5,39.0,452.0,135.0,29.9,45.1,75.3,207172.0,85898.0,35.0,336.0,15030.0,39.0,104.0,786.0,23.12,85.0,2.5,505.0,277.0,366.0,782.0,643.0,48.6,18766.0,467.0,1353.0,14.0,0.41,5.8,0.17,54.5,2023-2024,49.0,38,32.3,39.0,1361.0
Moreirense,34,16,7,11,36,1,55,32.5,0.3,30,65,503.0,16,47.1,73.4,128.0,35.2,1.2,18.0,393.0,110.0,28.0,32.8,77.8,217860.0,82989.0,30.0,297.0,14914.0,35.0,76.0,674.0,19.82,62.0,1.82,532.0,318.0,382.0,850.0,797.0,46.2,18755.0,503.0,1047.0,1.0,0.03,0.3,0.01,47.2,2023-2024,35.0,35,25.6,30.5,1054.0
Arouca,34,13,7,14,54,4,46,49.5,-1.9,38,89,473.0,5,14.7,71.3,150.0,51.4,2.4,69.0,459.0,157.0,34.2,47.6,80.2,254209.0,90188.0,38.0,332.0,17348.0,51.0,98.0,793.0,23.32,83.0,2.44,530.0,262.0,361.0,792.0,637.0,53.7,20905.0,473.0,1306.0,4.0,0.12,-1.9,-0.06,50.1,2023-2024,51.0,50,32.1,42.5,1317.0
Famalicão,34,10,12,12,37,-4,42,45.7,-9.9,23,60,507.0,8,23.5,74.5,149.0,49.2,10.2,49.0,446.0,118.0,26.5,35.8,77.9,228716.0,86213.0,23.0,316.0,14426.0,25.0,174.0,770.0,22.65,64.0,1.88,548.0,299.0,372.0,847.0,687.0,47.1,18291.0,507.0,968.0,-4.0,-0.12,-9.9,-0.29,55.1,2023-2024,37.0,41,24.2,32.0,976.0
Casa Pia,34,10,8,16,38,-12,38,43.1,-13.7,27,64,472.0,10,29.4,69.2,159.0,47.6,-2.4,22.0,352.0,115.0,32.7,29.4,77.2,198436.0,79271.0,27.0,256.0,14094.0,51.0,95.0,613.0,18.03,70.0,2.06,499.0,286.0,366.0,785.0,712.0,43.8,17791.0,472.0,972.0,-12.0,-0.35,-13.7,-0.4,44.6,2023-2024,37.0,50,19.5,26.2,985.0
Farense,34,10,7,17,46,-5,37,55.6,-11.4,26,72,406.0,7,20.6,76.6,192.0,62.6,12.6,18.0,389.0,142.0,36.5,44.3,71.7,191166.0,75812.0,26.0,260.0,13093.0,30.0,110.0,645.0,18.97,75.0,2.21,515.0,332.0,472.0,847.0,1004.0,42.4,17135.0,406.0,932.0,-5.0,-0.15,-11.4,-0.33,47.9,2023-2024,46.0,51,27.6,39.1,944.0
Rio Ave,34,6,19,9,38,-5,37,42.5,-3.8,22,58,451.0,10,29.4,74.1,158.0,47.0,5.0,32.0,346.0,98.0,28.3,38.7,78.6,229619.0,83476.0,22.0,250.0,15665.0,35.0,109.0,601.0,17.68,63.0,1.85,541.0,289.0,403.0,830.0,755.0,48.7,19527.0,451.0,1075.0,-5.0,-0.15,-3.8,-0.11,50.5,2023-2024,36.0,43,25.5,31.9,1085.0
Gil Vicente FC,34,9,9,16,42,-10,36,49.4,-8.9,28,70,565.0,9,26.5,69.5,154.0,47.7,-2.3,39.0,351.0,128.0,36.5,40.5,78.0,228900.0,82263.0,28.0,271.0,16065.0,55.0,84.0,629.0,18.5,70.0,2.06,540.0,303.0,373.0,843.0,677.0,49.3,19718.0,565.0,1138.0,-10.0,-0.29,-8.9,-0.26,50.8,2023-2024,42.0,52,25.4,34.4,1144.0
Estoril,34,9,6,19,49,-9,33,51.7,-12.5,27,76,570.0,10,29.4,66.5,167.0,52.8,-2.2,38.0,391.0,135.0,34.5,39.2,79.0,228158.0,82076.0,27.0,281.0,15367.0,45.0,122.0,675.0,19.85,85.0,2.5,538.0,269.0,359.0,807.0,687.0,48.7,19136.0,570.0,1052.0,-9.0,-0.26,-12.5,-0.37,43.4,2023-2024,49.0,58,26.5,37.7,1060.0
Estrela,34,7,12,15,33,-20,33,49.4,-10.8,18,47,405.0,7,20.6,65.5,148.0,51.1,-0.9,48.0,369.0,105.0,28.5,38.6,75.0,210850.0,84151.0,18.0,281.0,14750.0,38.0,106.0,631.0,18.56,50.0,1.47,574.0,281.0,390.0,855.0,709.0,47.0,18594.0,405.0,1046.0,-20.0,-0.59,-10.8,-0.32,51.8,2023-2024,29.0,53,29.7,37.8,1057.0
