Equipa,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,GolosSofridos_x,DiferençaDeGolos,Pontos,GolosEsperados_x,GolosEsperadosSofridos,DiferençaDeGolosEsperados,Golos_x,Assistências,Golos+Assistências,GolosEsperados_y,GolosEsperadosAssistidos_x,GolosEsperadosSemPenáltis_x,ConduçõesProgressivas,PassesProgressivos_x,GolosSofridos_y,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,Golos_y,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,GolosEsperadosSemPenáltis_y,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,GolosEsperadosAssistidos_y,PassesChave,PassesProgressivos_y,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos,%DeDuelosAéreosGanhos,Epoca,Golos
Vitória Setúbal,34,8,12,14,28,39,-11,36,34.0,39.6,-5.5,28.0,21,49,34.0,24.1,30.9,379.0,1016.0,39,11,32.4,73.3,135.0,38.2,0.2,19.0,28.0,355.0,115.0,32.4,34.0,30.9,67.9,173449.0,83735.0,21.0,24.1,231.0,1016.0,12181.0,7.0,109.0,592.0,17.41,49.0,1.44,536.0,408.0,334.0,944.0,711.0,45.5,15547.0,379.0,1008.0,-11.0,-0.32,-5.5,-0.16,53.3,2018-2019,
Aves,34,10,6,18,35,49,-14,36,45.1,42.9,2.2,35.0,18,53,45.1,28.9,40.4,410.0,1028.0,49,9,26.5,69.7,152.0,44.8,-2.2,14.0,35.0,460.0,135.0,29.3,45.1,40.4,68.7,169635.0,79666.0,18.0,28.9,324.0,1028.0,12106.0,16.0,86.0,770.0,22.65,59.0,1.74,588.0,424.0,316.0,1012.0,879.0,42.3,15878.0,410.0,1019.0,-14.0,-0.41,2.2,0.06,48.9,2018-2019,
Tondela,34,9,8,17,40,54,-14,35,42.5,58.2,-15.7,38.0,27,65,42.5,28.9,39.3,351.0,1007.0,54,4,11.8,67.5,151.0,54.5,0.5,19.0,38.0,401.0,125.0,31.2,42.5,39.3,66.5,173993.0,82088.0,27.0,28.9,251.0,1007.0,12761.0,23.0,88.0,649.0,19.09,64.0,1.88,556.0,394.0,349.0,950.0,758.0,45.9,16281.0,351.0,997.0,-14.0,-0.41,-15.7,-0.46,44.8,2018-2019,
Chaves,34,8,8,18,34,57,-23,32,38.4,54.2,-15.8,34.0,21,55,38.4,26.6,32.2,512.0,1198.0,57,8,23.5,65.6,151.0,53.4,-1.6,27.0,34.0,365.0,102.0,27.9,38.4,32.2,70.4,181137.0,78166.0,21.0,26.6,257.0,1198.0,12986.0,11.0,91.0,638.0,18.76,61.0,1.79,567.0,423.0,360.0,990.0,808.0,46.2,16559.0,512.0,1188.0,-23.0,-0.68,-15.8,-0.47,44.3,2018-2019,
Nacional,34,7,7,20,33,73,-40,28,44.8,56.1,-11.3,33.0,21,54,44.8,27.0,37.8,568.0,1180.0,73,8,23.5,61.3,163.0,64.3,-7.7,46.0,33.0,438.0,125.0,28.5,44.8,37.8,72.2,200610.0,79359.0,21.0,27.0,305.0,1180.0,13829.0,8.0,156.0,756.0,22.24,55.0,1.62,560.0,443.0,333.0,1003.0,640.0,51.0,17274.0,568.0,1166.0,-40.0,-1.18,-11.3,-0.33,49.6,2018-2019,
Feirense,34,3,11,20,27,64,-37,20,28.0,52.1,-24.2,25.0,17,42,28.0,17.6,24.0,320.0,918.0,64,6,17.6,64.5,166.0,53.3,-8.7,28.0,25.0,285.0,92.0,32.3,28.0,24.0,68.4,174812.0,77893.0,17.0,17.6,190.0,918.0,12763.0,10.0,98.0,472.0,13.88,42.0,1.24,532.0,415.0,312.0,947.0,743.0,46.8,16118.0,320.0,905.0,-37.0,-1.09,-24.2,-0.71,48.2,2018-2019,
Porto,34,28,4,2,82,18,64,88,,,,,59,141,,,,,,18,19,55.9,81.4,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,82.0
Benfica,34,25,6,3,80,22,58,81,,,,,59,138,,,,,,22,15,44.1,75.6,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,79.0
Sporting CP,34,24,6,4,63,24,39,78,,,,,43,105,,,,,,24,17,50.0,83.2,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,62.0
Braga,34,24,3,7,74,29,45,75,,,,,57,130,,,,,,29,14,41.2,77.6,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,73.0
Rio Ave,34,15,6,13,40,42,-2,51,,,,,25,64,,,,,,42,10,29.4,75.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,39.0
Chaves,34,13,8,13,47,55,-8,47,,,,,29,76,,,,,,55,7,20.6,68.1,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,47.0
Marítimo,34,13,8,13,36,49,-13,47,,,,,26,62,,,,,,49,10,29.4,68.7,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,36.0
Boavista,34,13,6,15,35,44,-9,45,,,,,23,58,,,,,,44,11,32.4,73.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,35.0
Vitória,34,13,4,17,45,56,-11,43,,,,,31,76,,,,,,56,7,20.6,66.7,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,45.0
Portimonense,34,10,8,16,52,60,-8,38,,,,,39,91,,,,,,60,4,11.8,64.7,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,52.0
Tondela,34,10,8,16,41,50,-9,38,,,,,29,68,,,,,,50,8,23.5,69.6,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,39.0
Belenenses,34,9,10,15,33,46,-13,37,,,,,22,54,,,,,,46,10,29.4,73.8,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,32.0
Aves,34,9,7,18,36,51,-15,34,,,,,26,61,,,,,,51,10,29.4,71.9,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,35.0
Vitória Setúbal,34,7,11,16,39,62,-23,32,,,,,25,64,,,,,,62,5,14.7,68.0,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,39.0
Moreirense,34,8,8,18,29,50,-21,32,,,,,13,40,,,,,,50,5,14.7,71.9,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,27.0
Feirense,34,9,4,21,32,48,-16,31,,,,,21,51,,,,,,48,9,26.5,71.1,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,30.0
Paços de Ferreira,34,7,9,18,33,59,-26,30,,,,,25,55,,,,,,59,8,23.5,66.5,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,30.0
