Equipa,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,GolosSofridos_x,DiferençaDeGolos,Pontos,GolosEsperados_x,GolosEsperadosSofridos,DiferençaDeGolosEsperados,Golos_x,Assistências,Golos+Assistências,GolosEsperados_y,GolosEsperadosAssistidos_x,GolosEsperadosSemPenáltis_x,ConduçõesProgressivas,PassesProgressivos_x,GolosSofridos_y,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,Golos_y,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,GolosEsperadosSemPenáltis_y,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,GolosEsperadosAssistidos_y,PassesChave,PassesProgressivos_y,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos,%DeDuelosAéreosGanhos,Epoca,Golos
Benfica,30,13,13,4,45,21,24,52,,,,,25,69,,,,,,21,13,43.3,78.6,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-2008,44.0
Marítimo,30,14,4,12,39,28,11,46,,,,,20,59,,,,,,28,10,33.3,79.4,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-2008,39.0
Vitória Setúbal,30,11,12,7,37,33,4,45,,,,,19,55,,,,,,33,11,36.7,76.1,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-2008,36.0
Braga,30,10,11,9,32,34,-2,41,,,,,17,48,,,,,,31,12,40.0,75.4,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-2008,31.0
Belenenses,30,11,10,9,35,33,2,40,,,,,21,56,,,,,,32,8,26.7,74.4,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-2008,35.0
Boavista,30,8,12,10,32,41,-9,36,,,,,19,49,,,,,,41,11,36.7,73.7,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-2008,30.0
Nacional,30,9,8,13,23,28,-5,35,,,,,17,40,,,,,,28,12,40.0,79.4,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-2008,23.0
Naval,30,9,7,14,26,45,-19,34,,,,,19,43,,,,,,45,7,23.3,72.2,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-2008,24.0
Académica,30,6,14,10,31,38,-7,32,,,,,17,47,,,,,,38,11,36.7,75.6,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-2008,30.0
Estrela,30,6,13,11,29,41,-12,31,,,,,21,48,,,,,,41,9,30.0,71.9,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-2008,27.0
Leixões,30,4,14,12,27,37,-10,26,,,,,16,41,,,,,,37,6,20.0,76.1,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-2008,25.0
Paços de Ferreira,30,6,7,17,31,49,-18,25,,,,,20,50,,,,,,49,2,6.7,73.4,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-2008,30.0
União de Leiria,30,3,7,20,25,53,-28,16,,,,,18,43,,,,,,53,4,13.3,71.8,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-2008,25.0
Porto,30,22,3,5,65,20,45,69,,,,,34,96,,,,,,20,13,43.3,79.6,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,62.0
Sporting CP,30,20,8,2,54,15,39,68,,,,,28,79,,,,,,15,19,63.3,86.4,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,51.0
Benfica,30,20,7,3,55,20,35,67,,,,,27,79,,,,,,20,17,56.7,79.4,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,52.0
Braga,30,14,8,8,35,30,5,50,,,,,22,55,,,,,,30,10,33.3,76.2,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,33.0
Belenenses,30,15,4,11,36,29,7,49,,,,,21,57,,,,,,29,15,50.0,78.5,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,36.0
Paços de Ferreira,30,10,12,8,31,36,-5,42,,,,,22,53,,,,,,36,9,30.0,76.3,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,31.0
União de Leiria,30,10,11,9,25,27,-2,41,,,,,19,44,,,,,,27,14,46.7,81.6,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,25.0
Nacional,30,11,6,13,41,38,3,39,,,,,21,59,,,,,,37,8,26.7,75.2,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,38.0
Estrela,30,9,8,13,23,36,-13,35,,,,,16,38,,,,,,36,11,36.7,76.3,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,22.0
Boavista,30,8,11,11,32,34,-2,35,,,,,20,52,,,,,,34,7,23.3,73.8,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,32.0
Marítimo,30,8,8,14,30,44,-14,32,,,,,17,46,,,,,,44,5,16.7,73.3,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,29.0
Naval,30,7,11,12,28,37,-9,32,,,,,19,46,,,,,,37,7,23.3,77.4,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,27.0
Académica,30,6,8,16,28,46,-18,26,,,,,17,45,,,,,,46,6,20.0,72.6,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,28.0
Vitória Setúbal,30,5,9,16,21,45,-24,24,,,,,16,36,,,,,,43,4,13.3,69.5,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,20.0
Beira-Mar,30,4,11,15,28,55,-27,23,,,,,13,41,,,,,,55,5,16.7,66.5,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,28.0
Aves,30,5,7,18,22,42,-20,22,,,,,9,30,,,,,,42,6,20.0,70.2,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-2007,21.0
Porto,34,24,7,3,54,16,38,79,,,,,29,81,,,,,,16,22,64.7,87.4,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,52.0
Sporting CP,34,22,6,6,50,24,26,72,,,,,22,69,,,,,,24,17,50.0,82.4,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,47.0
Benfica,34,20,7,7,51,29,22,67,,,,,29,78,,,,,,29,18,52.9,79.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,49.0
Braga,34,17,7,10,38,22,16,58,,,,,27,63,,,,,,22,18,52.9,84.9,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,36.0
Nacional,34,14,10,10,40,32,8,52,,,,,25,64,,,,,,32,14,41.2,80.2,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,39.0
Boavista,34,12,14,8,37,29,8,50,,,,,23,60,,,,,,29,11,32.4,79.1,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,37.0
União de Leiria,34,13,8,13,44,42,2,47,,,,,22,65,,,,,,42,8,23.5,72.9,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,43.0
Vitória Setúbal,34,14,4,16,28,33,-5,46,,,,,17,45,,,,,,33,14,41.2,77.7,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,28.0
Estrela,34,12,9,13,31,33,-2,45,,,,,20,51,,,,,,33,12,35.3,80.6,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,31.0
Marítimo,34,10,14,10,38,37,1,44,,,,,22,59,,,,,,37,10,29.4,78.4,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,37.0
Paços de Ferreira,34,11,9,14,38,49,-11,42,,,,,21,58,,,,,,49,6,17.6,73.1,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,37.0
Gil Vicente,34,11,7,16,37,42,-5,40,,,,,23,58,,,,,,42,8,23.5,74.7,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,35.0
Académica,34,10,9,15,37,48,-11,39,,,,,24,61,,,,,,48,12,35.3,75.3,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,37.0
Naval,34,11,6,17,35,48,-13,39,,,,,22,56,,,,,,48,10,29.4,72.9,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,34.0
Belenenses,34,11,6,17,40,42,-2,39,,,,,24,63,,,,,,42,9,26.5,76.8,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,39.0
Rio Ave,34,8,10,16,34,53,-19,34,,,,,22,55,,,,,,56,7,20.6,69.6,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,33.0
Vitória,34,8,10,16,28,41,-13,34,,,,,15,43,,,,,,41,9,26.5,75.6,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,28.0
Penafiel,34,2,9,23,21,61,-40,15,,,,,16,35,,,,,,61,3,8.8,67.0,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-2006,19.0
